"";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"DOID:10652";"DOID:10652";"Alzheimer's disease";0,203883495145631;0,0537030098663669;8,94067034303507e-08;3,23066298883949e-05;2,24324803626661e-05;"DOCK2/ESR2/SEL1L/MTR/TSC2/MTOR/BAX/MAP2K1/COL25A1/CAST/XRCC1/C3/MSI1/WT1/SLC6A3/PRKN/ANK3/ABCB1/PTGS1/TP53/PTGES2";21
"DOID:680";"DOID:680";"tauopathy";0,203883495145631;0,0542025727488448;1,04721652798687e-07;3,23066298883949e-05;2,24324803626661e-05;"DOCK2/ESR2/SEL1L/MTR/TSC2/MTOR/BAX/MAP2K1/COL25A1/CAST/XRCC1/C3/MSI1/WT1/SLC6A3/PRKN/ANK3/ABCB1/PTGS1/TP53/PTGES2";21
"DOID:120";"DOID:120";"female reproductive organ cancer";0,174757281553398;0,0568252778818534;1,66903141859508e-05;0,00130281155027089;0,000904622197321933;"ESR2/NDRG1/MTOR/BAX/CD200/STAT3/ABCC2/ITGB3/XRCC1/RBL2/MSI1/WT1/P2RX7/SMAD2/ABCC1/FURIN/ABCB1/TP53";18
"DOID:0050890";"DOID:0050890";"synucleinopathy";0,135922330097087;0,0274759585362808;7,30379208760574e-07;0,000112660992951319;7,82274573593562e-05;"ESR2/CALB1/MTR/TSC2/CD200/EPHX2/C3/SLC6A3/POLG/GAD1/RPH3A/PRKN/ABCB1/TP53";14
"DOID:0060085";"DOID:0060085";"organ system benign neoplasm";0,135922330097087;0,032721368802298;5,78790222471998e-06;0,000714227134530446;0,000495931832728639;"ESR2/NDRG1/TSC2/BAX/MAP2K1/STAT3/CALB2/XRCC1/RBL2/WT1/SEMA3F/SCGN/ANK3/TP53";14
"DOID:0050736";"DOID:0050736";"autosomal dominant disease";0,135922330097087;0,0510803047333583;0,000702922142299459;0,0173481184719506;0,0120458657648792;"ESR2/TSC2/MTOR/BAX/MAP2K1/STAT3/ITGB3/XRCC1/UBE2I/WT1/ABCC1/ABCB1/TP53/FLG";14
"DOID:3908";"DOID:3908";"non-small cell lung carcinoma";0,135922330097087;0,0538279005869864;0,00117091335225973;0,0246297609001254;0,0171019580079349;"ESR2/MTOR/MAP2K1/ECE1/STAT3/ABCC2/XRCC1/UBE2I/WT1/ADAM12/ABCB1/PTGS1/DSP/TP53";14
"DOID:0060100";"DOID:0060100";"musculoskeletal system cancer";0,135922330097087;0,0548270263519421;0,00139622107226433;0,0246480413461233;0,0171146512460499;"ESR2/NDRG1/MTOR/BAX/MAP2K1/STAT3/ITGB3/AP2B1/WT1/SMAD2/DMD/ABCC1/ABCB1/TP53";14
"DOID:936";"DOID:936";"brain disease";0,135922330097087;0,0567003871612339;0,00191729485138667;0,026288242740124;0,0182535439652486;"GRIA1/TRPV1/MTOR/TLN2/CALB2/ABCC2/C3/GSR/SLC6A3/POLG/GAD1/ABCC1/PRKN/ABCB1";14
"DOID:0060084";"DOID:0060084";"cell type benign neoplasm";0,135922330097087;0,0593230922942425;0,00291132825251977;0,0345440294577827;0,0239860445096265;"ESR2/MTR/TSC2/MTOR/BAX/TCF7L2/STAT3/XRCC1/WT1/SMAD2/SCGN/ABCB1/PTGS1/TP53";14
