"";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"umls:C0025500";"umls:C0025500";"Mesothelioma";0,139344262295082;0,0219204878890743;1,3764761589593e-09;3,65179124971903e-06;2,21105538797042e-06;"ESR2/TSC2/MTOR/NBR1/MAP2K1/STAT3/CALB2/ABCC2/XRCC1/RBL2/WT1/ABCC1/ABCB1/PLA2G4A/CUL4A/PKN1/TP53";17
"umls:C0279000";"umls:C0279000";"Liver and Intrahepatic Biliary Tract Carcinoma";0,139344262295082;0,02853690811806;6,80644526333977e-08;8,71285740193505e-05;5,27538651193401e-05;"ANXA6/MTR/SETD2/MTOR/BAX/ANXA3/MAP2K1/TCF7L2/CPS1/CAMKK2/STAT3/WT1/ABCC1/PRKN/ABCB1/TP53/NOX4";17
"umls:C1378703";"umls:C1378703";"Renal carcinoma";0,131147540983607;0,0270985558943674;1,93192607456602e-07;8,71285740193505e-05;5,27538651193401e-05;"SETD2/NDRG1/TSC2/MTOR/MAP2K1/TCF7L2/STAT3/ABCC2/XRCC1/RBL2/C3/WT1/PRKN/ABCB1/PKN1/TP53";16
"umls:C0013080";"umls:C0013080";"Down Syndrome";0,131147540983607;0,0272136240722628;2,04567743903167e-07;8,71285740193505e-05;5,27538651193401e-05;"ESR2/MTR/HEY2/CPS1/AMPH/STAT3/COL25A1/PDE9A/XRCC1/PAPPA/WT1/ADAM12/ANK1/ABCB1/WNK1/TP53";16
"umls:C0011853";"umls:C0011853";"Diabetes Mellitus, Experimental";0,131147540983607;0,0277314308727921;2,63676619017964e-07;8,74417587818322e-05;5,2943489555449e-05;"MTR/BAX/CPS1/ECE1/STAT3/ABCC2/ITGB3/GSR/PRKG1/POLG/PDE3A/FURIN/ABCB1/PTGS1/TP53/NOX4";16
"umls:C0007786";"umls:C0007786";"Brain Ischemia";0,122950819672131;0,0238766469132961;2,1785639850626e-07;8,71285740193505e-05;5,27538651193401e-05;"ESR2/MTR/MAP2K1/EPHX2/STAT3/ITGB3/CAST/XRCC1/C3/MSI1/PRKG1/PLA2G4A/PTGS1/WNK1/TP53";15
"umls:C0031117";"umls:C0031117";"Peripheral Neuropathy";0,122950819672131;0,025832805937518;5,93098078493509e-07;0,000138053434604674;8,3587414925202e-05;"MTR/NDRG1/BAX/TCF7L2/TLN2/ABCC2/ITGB3/POLG/GAD1/ABCC1/SCN11A/PRKN/ABCB1/PTGS1/WNK1";15
"umls:C0740457";"umls:C0740457";"Malignant neoplasm of kidney";0,114754098360656;0,0228985674011852;7,86539888859004e-07;0,000139171259679102;8,4264226107608e-05;"SETD2/NDRG1/MTOR/MAP2K1/TCF7L2/STAT3/ABCC2/ITGB3/XRCC1/RBL2/WT1/PRKN/ABCB1/TP53";14
"umls:C0004936";"umls:C0004936";"Mental disorders";0,114754098360656;0,0249697946033025;2,18155907847188e-06;0,000289383811759296;0,000175213639670952;"GRIA1/TRPV1/CALB1/TCF7L2/FEZ1/SLC1A1/ITGB3/SLC6A3/PRKG1/DMD/GAD1/ANK3/FKBP4/ABCB1";14
"umls:C0020456";"umls:C0020456";"Hyperglycemia";0,114754098360656;0,0253725332259364;2,62819223237675e-06;0,00029208920006859;0,000176851675086662;"ESR2/TRPV1/SETD2/MTOR/BAX/TCF7L2/ECE1/TKT/GAD1/PLA2G4A/WNK1/TP53/GCGR/NOX4";14
"umls:C0027765";"umls:C0027765";"nervous system disorder";0,114754098360656;0,0259478741154134;3,4078825744759e-06;0,000322896873931591;0,000195504842430459;"MTR/TSC2/MTOR/SLC1A1/ABCC2/CAST/XRCC1/SLC6A3/POLG/GAD1/ANK3/ABCB1/PLA2G4A/TP53";14
"umls:C1269683";"umls:C1269683";"Major Depressive Disorder";0,114754098360656;0,0280191013175306;8,20490583865366e-06;0,00060465597749856;0,000366101938882617;"ESR2/GRIA1/MTOR/SLC1A1/CALB2/PDE9A/SLC6A3/P2RX7/GAD1/ABCC1/ANK3/FKBP4/ABCB1/PLA2G4A";14
"umls:C0035126";"umls:C0035126";"Reperfusion Injury";0,10655737704918;0,017547897129049;2,29890696620977e-07;8,71285740193505e-05;5,27538651193401e-05;"GRIA1/BAX/STAT3/ITGB3/CAST/XRCC1/C3/GSR/ABCB1/PLA2G4A/PTGS1/TP53/NOX4";13
"umls:C0020542";"umls:C0020542";"Pulmonary Hypertension";0,10655737704918;0,0191588516195846;6,24440714382243e-07;0,000138053434604674;8,3587414925202e-05;"ESR2/SETD2/MTOR/EPHX2/CPS1/ECE1/STAT3/PRKG1/SMAD2/PDE3A/PTGS1/TP53/NOX4";13
"umls:C0003469";"umls:C0003469";"Anxiety Disorders";0,10655737704918;0,0219204878890743;2,79403668765604e-06;0,00029208920006859;0,000176851675086662;"ESR2/GRIA1/TSC2/CAMKK2/COL25A1/SLC6A3/P2RX7/GAD1/PRKN/ANK3/FKBP4/ABCB1/P2RX4";13
"umls:C1621958";"umls:C1621958";"Glioblastoma Multiforme";0,10655737704918;0,0249697946033025;1,14068874271799e-05;0,000748613735055082;0,000453264252859347;"TRPV1/MTR/SETD2/MTOR/NTN4/TCF7L2/STAT3/WT1/SMAD2/FCGRT/ABCC1/ABCB1/TP53";13
"umls:C3539878";"umls:C3539878";"Triple Negative Breast Neoplasms";0,10655737704918;0,0262355445601519;1,92272096874337e-05;0,000950024272164048;0,000575212585284718;"ESR2/SETD2/MTOR/NBR1/STAT3/ITGB3/XRCC1/MSI1/WT1/SMAD2/ADAM12/ABCB1/TP53";13
"umls:C0345967";"umls:C0345967";"Malignant mesothelioma";0,0983606557377049;0,0153040676600886;3,76026583499336e-07;0,000110844280669304;6,71130487040921e-05;"ESR2/MTOR/NBR1/STAT3/CALB2/ABCC2/XRCC1/WT1/SMAD2/ABCC1/ABCB1/TP53";12
"umls:C0018799";"umls:C0018799";"Heart Diseases";0,0983606557377049;0,0204821356653817;7,7966033783657e-06;0,00060465597749856;0,000366101938882617;"MTOR/BAX/STAT3/ABCC2/ITGB3/PDE9A/PAPPA/SORCS2/DMD/ABCC1/ABCB1/DSP";12
"umls:C0023452";"umls:C0023452";"Leukemia, Lymphocytic, Acute, L1";0,0983606557377049;0,0223232265117082;1,84258832477634e-05;0,000950024272164048;0,000575212585284718;"MTR/MTOR/BAX/MAP2K1/ABCC2/XRCC1/C3/WT1/ABCC1/ABCB1/WNK1/TP53";12
"umls:C0007138";"umls:C0007138";"Carcinoma, Transitional Cell";0,0983606557377049;0,0223807606006559;1,89007447877162e-05;0,000950024272164048;0,000575212585284718;"ESR2/MTR/TSC2/MTOR/BAX/SH3GL2/FEZ1/STAT3/XRCC1/ABCB1/PLA2G4A/TP53";12
"umls:C0032580";"umls:C0032580";"Adenomatous Polyposis Coli";0,0983606557377049;0,022553362867499;2,03900710119508e-05;0,000983542879903734;0,000595507145727021;"BAX/TCF7L2/STAT3/PRKN/PLEK/ABCB1/MCC/PTGS1/WNK1/TP53/RPE/UBR5";12
"umls:C0041696";"umls:C0041696";"Unipolar Depression";0,0983606557377049;0,0233588401127668;2,87780142775366e-05;0,00127246786463841;0,000770442978728436;"GRIA1/MTOR/SLC1A1/CALB2/PDE9A/SLC6A3/P2RX7/GAD1/ABCC1/ANK3/FKBP4/ABCB1";12
"umls:C0035304";"umls:C0035304";"Retinal Degeneration";0,0901639344262295;0,0134054427248145;7,54272869963938e-07;0,000139171259679102;8,4264226107608e-05;"SETD2/CLCN7/CAST/C3/DOCK3/P2RX7/DMD/PRKN/PPT1/PKN1/RPE";11
"umls:C0030193";"umls:C0030193";"Pain";0,0901639344262295;0,013693113169553;9,29825937192999e-07;0,000154176763210814;9,3349630273455e-05;"DYSF/TRPV1/CLCN7/P2RX7/PRKG1/SMAD2/GAD1/SCN11A/PPT1/ABCB1/PTGS1";11
"umls:C1302401";"umls:C1302401";"Adenoma of large intestine";0,0901639344262295;0,0147862608595593;1,96969214253648e-06;0,000275031223902594;0,000166523557313611;"MTR/MTOR/BAX/STAT3/ABCC2/XRCC1/CEMIP/SEMA3F/ABCB1/PTGS1/TP53";11
"umls:C0014170";"umls:C0014170";"Endometrial Neoplasms";0,0901639344262295;0,0152465335711409;2,65018535954709e-06;0,00029208920006859;0,000176851675086662;"ESR2/NDRG1/TSC2/MTOR/TCF7L2/XRCC1/MSI1/WT1/SEMA3F/ABCB1/TP53";11
"umls:C0238198";"umls:C0238198";"Gastrointestinal Stromal Tumors";0,0901639344262295;0,0185259766411599;1,67750008530478e-05;0,000950024272164048;0,000575212585284718;"MTOR/MAP2K1/AMPH/STAT3/DIAPH1/WT1/DMD/ABCC1/ATG7/ABCB1/TP53";11
"umls:C0279702";"umls:C0279702";"Conventional (Clear Cell) Renal Cell Carcinoma";0,0901639344262295;0,0211150106438065;5,54457598090088e-05;0,00204325107945227;0,00123713021891569;"SETD2/MTOR/TCF7L2/SLC1A1/STAT3/XRCC1/WT1/GAD1/ATG7/PRKN/TP53";11
"umls:C0853879";"umls:C0853879";"Invasive breast carcinoma";0,0901639344262295;0,0212300788217019;5,82211865722781e-05;0,00204325107945227;0,00123713021891569;"ESR2/ANXA6/SETD2/TSC2/NISCH/XRCC1/PAPPA/CEMIP/ABCC1/ABCB1/TP53";11
"umls:C0948008";"umls:C0948008";"Ischemic stroke";0,0901639344262295;0,0220930901559174;8,31163088210689e-05;0,00253456973910685;0,0015346096462305;"ESR2/MTR/EPHX2/ECE1/CAMKK2/ITGB3/C3/P2RX7/ABCB1/PTGS1/TP53";11
"umls:C0042373";"umls:C0042373";"Vascular Diseases";0,0901639344262295;0,0226684310453944;0,000104366482326774;0,00304268436937287;0,00184225855443212;"ESR2/MTR/SETD2/CPS1/ITGB3/DMD/PRKN/FURIN/PKN1/TP53/NOX4";11
"umls:C0338656";"umls:C0338656";"Impaired cognition";0,0901639344262295;0,0230711696680283;0,000121866821636222;0,00323312677800898;0,00195756599807237;"ESR2/MTR/TSC2/STAT3/ITGB3/SLC6A3/DMD/GAD1/ANK3/ABCB1/PLA2G4A";11
