"";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"kidney";"kidney";"kidney";0,185185185185185;0,0350095480585614;0,0019616754885027;0,063432452507324;0,0523340290956585;"SYNE2/SETD2/TSC2/MTOR/TP53";5
"leukemia";"leukemia";"leukemia";0,185185185185185;0,134945894334819;0,295510410978922;0,412454502370275;0,340289632112033;"SETD2/LUZP2/COL25A1/WT1/TP53";5
"neuroblastoma";"neuroblastoma";"neuroblastoma";0,148148148148148;0,0241884150222788;0,00342878121661211;0,063432452507324;0,0523340290956585;"SYNE2/C3/SORCS2/ANK3";4
"colorectal";"colorectal";"colorectal";0,148148148148148;0,0324633991088479;0,00995622336433174;0,105259571057017;0,0868428893500281;"TCF7L2/SMAD2/DMD/TP53";4
"head_and_neck";"head_and_neck";"head_and_neck";0,148148148148148;0,0649267982176957;0,0928987893561968;0,214996272488953;0,177379570474527;"ADAMTS12/TSC2/MTOR/TP53";4
"lymphoma";"lymphoma";"lymphoma";0,148148148148148;0,103119032463399;0,300980312540471;0,412454502370275;0,340289632112033;"CPS1/STAT3/DIAPH1/TP53";4
"esophageal";"esophageal";"esophageal";0,111111111111111;0,0356460852959898;0,0685299671578367;0,214996272488953;0,177379570474527;"DOCK2/ABCB1/TP53";3
"liver";"liver";"liver";0,111111111111111;0,0388287714831318;0,084081898495172;0,214996272488953;0,177379570474527;"TSC2/AMPH/TP53";3
"bladder";"bladder";"bladder";0,111111111111111;0,0426479949077021;0,104592781210842;0,214996272488953;0,177379570474527;"SYNE2/ANK3/TP53";3
"gastric";"gastric";"gastric";0,111111111111111;0,0464672183322724;0,126933190233105;0,247185686243414;0,203936981537952;"SMAD2/DMD/TP53";3
"lung";"lung";"lung";0,111111111111111;0,0910248249522597;0,451754595508156;0,522341251056305;0,430950107557122;"XPNPEP2/SETD2/TP53";3
"pancreas";"pancreas";"pancreas";0,111111111111111;0,09484404837683;0,47982055549209;0,537980622824464;0,443853145431279;"DOCK2/TSC2/TP53";3
"adenocarcinoma";"adenocarcinoma";"adenocarcinoma";0,0740740740740741;0,0063653723742839;0,0117620936618565;0,105259571057017;0,0868428893500281;"SETD2/TP53";2
"intracranial_germ_cell";"intracranial_germ_cell";"intracranial_germ_cell";0,0740740740740741;0,00700190961171229;0,0142242663590563;0,105259571057017;0,0868428893500281;"MTOR/TP53";2
"angiosarcoma";"angiosarcoma";"angiosarcoma";0,0740740740740741;0,0101845957988542;0,0294366186364991;0,152678620581473;0,125965291518142;"SETD2/TP53";2
